Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
78,6.4579984e+04,-6.8679695e+04,1.3800000e+04,1.0290339e+01,8.8698669e+02,3.5205505e+01,8.8774469e+02
79,6.7606289e+04,-6.8679695e+04,1.3800000e+04,5.7600136e+00,8.8387073e+02,2.9527742e+01,8.8438257e+02
80,7.0632594e+04,-6.8679695e+04,1.3800000e+04,1.3539821e+00,9.1122211e+02,2.2942568e+01,9.1151190e+02
81,7.3658898e+04,-6.8679695e+04,1.3800000e+04,1.8341124e-02,8.9932635e+02,2.1487921e+01,8.9958301e+02
82,7.6685203e+04,-6.8679695e+04,1.3800000e+04,-2.6245265e+00,8.9634265e+02,1.8458303e+01,8.9653650e+02
83,7.9711500e+04,-6.8679695e+04,1.3800000e+04,-5.6431255e+00,9.1512799e+02,2.1957092e+01,9.1540881e+02
84,8.2737805e+04,-6.8679695e+04,1.3800000e+04,-4.5040302e+00,9.0049133e+02,1.7605320e+01,9.0067468e+02
85,8.5764109e+04,-6.8679695e+04,1.3800000e+04,-1.3707232e-01,8.8305420e+02,1.9180696e+01,8.8326251e+02
86,8.8790414e+04,-6.8679695e+04,1.3800000e+04,7.2484660e+00,8.9411761e+02,2.5172691e+01,8.9450128e+02
87,9.1816719e+04,-6.8679695e+04,1.3800000e+04,1.1330311e+01,9.0235254e+02,2.5506655e+01,9.0278406e+02
88,9.4843023e+04,-6.8679695e+04,1.3800000e+04,1.1351295e+01,9.0907434e+02,2.6421577e+01,9.0952911e+02
89,9.7869328e+04,-6.8679695e+04,1.3800000e+04,9.9071207e+00,9.1866180e+02,2.3350887e+01,9.1901190e+02
90,1.0089563e+05,-6.8679695e+04,1.3800000e+04,2.7357619e+00,9.1313702e+02,2.1525381e+01,9.1339478e+02
91,1.0392194e+05,-6.8679695e+04,1.3800000e+04,-7.3674979e+00,9.1357141e+02,2.0723612e+01,9.1383612e+02
92,1.0694823e+05,-6.8679695e+04,1.3800000e+04,-2.0614368e+01,9.0340613e+02,2.5094429e+01,9.0398969e+02
93,1.0997455e+05,-6.8679695e+04,1.3800000e+04,-3.2574669e+01,8.4657996e+02,1.8767773e+01,8.4741431e+02
94,1.1300084e+05,-6.8679695e+04,1.3800000e+04,-3.1838432e+01,7.4741498e+02,2.1761284e+01,7.4840924e+02
95,-2.6209146e+04,-6.5662828e+04,1.3800000e+04,2.4744198e+01,6.0571674e+02,1.8152739e+01,6.0649365e+02
96,-2.3182842e+04,-6.5662828e+04,1.3800000e+04,3.2492725e+01,7.4986816e+02,2.4906551e+01,7.5098492e+02
97,-2.0156539e+04,-6.5662828e+04,1.3800000e+04,2.7912127e+01,8.0496051e+02,2.8357244e+01,8.0594330e+02
98,-1.7130234e+04,-6.5662828e+04,1.3800000e+04,1.2430701e+01,8.1557642e+02,1.7614754e+01,8.1586127e+02
99,-1.4103930e+04,-6.5662828e+04,1.3800000e+04,-1.6130289e+00,8.1798212e+02,2.0327883e+01,8.1823627e+02
100,-1.1077625e+04,-6.5662828e+04,1.3800000e+04,-1.8129471e+01,8.2760486e+02,1.5818707e+01,8.2795453e+02
101,-8.0513203e+03,-6.5662828e+04,1.3800000e+04,-3.2596375e+01,8.2698706e+02,1.5160379e+01,8.2776807e+02
102,-5.0250176e+03,-6.5662828e+04,1.3800000e+04,-4.7822033e+01,8.2358984e+02,1.5991982e+01,8.2513208e+02
103,-1.9987129e+03,-6.5662828e+04,1.3800000e+04,-6.3786831e+01,8.1244592e+02,1.4554259e+01,8.1507605e+02
104,1.0275918e+03,-6.5662828e+04,1.3800000e+04,-8.0820358e+01,8.1886194e+02,1.3351586e+01,8.2294897e+02
105,4.0538965e+03,-6.5662828e+04,1.3800000e+04,-9.4997711e+01,8.2598364e+02,1.1986115e+01,8.3151501e+02
106,7.0802012e+03,-6.5662828e+04,1.3800000e+04,-1.0998965e+02,8.3905438e+02,1.0948888e+01,8.4630365e+02
107,1.0106506e+04,-6.5662828e+04,1.3800000e+04,-1.2713412e+02,8.5103485e+02,1.8762762e+01,8.6068311e+02
108,1.3132807e+04,-6.5662828e+04,1.3800000e+04,-1.5185107e+02,8.6327838e+02,2.2597717e+01,8.7682324e+02
109,1.6159111e+04,-6.5662828e+04,1.3800000e+04,-1.7813367e+02,8.5598730e+02,2.9057610e+01,8.7480872e+02
110,1.9185416e+04,-6.5662828e+04,1.3800000e+04,-2.1487888e+02,8.5072192e+02,3.0813046e+01,8.7798077e+02
111,2.2211721e+04,-6.5662828e+04,1.3800000e+04,-2.5114359e+02,8.0964941e+02,4.0122952e+01,8.4865491e+02
112,2.5238025e+04,-6.5662828e+04,1.3800000e+04,-2.5654114e+02,7.6696265e+02,6.0386143e+01,8.1098187e+02
113,2.8264330e+04,-6.5662828e+04,1.3800000e+04,-2.0806818e+02,7.2015192e+02,8.8901314e+01,7.5486060e+02
114,3.1290635e+04,-6.5662828e+04,1.3800000e+04,-1.2179057e+02,7.0582007e+02,9.6012436e+01,7.2265710e+02
115,3.4316938e+04,-6.5662828e+04,1.3800000e+04,-5.8158028e+01,7.3981378e+02,8.1605247e+01,7.4656964e+02
116,3.7343242e+04,-6.5662828e+04,1.3800000e+04,-2.8441006e+01,7.7974750e+02,6.4014290e+01,7.8288751e+02
117,4.0369547e+04,-6.5662828e+04,1.3800000e+04,-2.3738647e+01,8.1875006e+02,5.7831703e+01,8.2113318e+02
118,4.3395852e+04,-6.5662828e+04,1.3800000e+04,-2.1065851e+01,8.3832520e+02,6.1277874e+01,8.4082568e+02
119,4.6422156e+04,-6.5662828e+04,1.3800000e+04,-2.1381269e+01,8.3514783e+02,5.8258965e+01,8.3745044e+02
120,4.9448461e+04,-6.5662828e+04,1.3800000e+04,-1.4442105e+01,7.9923212e+02,5.8415318e+01,8.0149420e+02
121,5.2474766e+04,-6.5662828e+04,1.3800000e+04,-4.5021400e+00,7.7437268e+02,5.7730961e+01,7.7653473e+02
122,5.5501070e+04,-6.5662828e+04,1.3800000e+04,7.9330521e+00,8.0016089e+02,5.3368439e+01,8.0197791e+02
123,5.8527375e+04,-6.5662828e+04,1.3800000e+04,1.1245094e+01,7.9219556e+02,5.0879238e+01,7.9390741e+02
124,6.1553680e+04,-6.5662828e+04,1.3800000e+04,1.2119656e+01,7.9497198e+02,5.0812656e+01,7.9668640e+02
125,6.4579984e+04,-6.5662828e+04,1.3800000e+04,8.0235662e+00,8.0858679e+02,4.8684700e+01,8.1009088e+02
126,6.7606289e+04,-6.5662828e+04,1.3800000e+04,2.1669514e+00,8.2026855e+02,3.9537621e+01,8.2122375e+02
127,7.0632594e+04,-6.5662828e+04,1.3800000e+04,-1.2440013e+00,8.2240790e+02,3.7390400e+01,8.2325836e+02
128,7.3658898e+04,-6.5662828e+04,1.3800000e+04,-3.6413541e+00,8.3937555e+02,3.4480701e+01,8.4009137e+02
129,7.6685203e+04,-6.5662828e+04,1.3800000e+04,-5.7569699e+00,8.3459894e+02,3.0402470e+01,8.3517230e+02
130,7.9711500e+04,-6.5662828e+04,1.3800000e+04,-7.3326573e+00,8.0884180e+02,3.6542336e+01,8.0970001e+02
131,8.2737805e+04,-6.5662828e+04,1.3800000e+04,-4.4947076e+00,7.9996478e+02,3.4589188e+01,8.0072485e+02
132,8.5764109e+04,-6.5662828e+04,1.3800000e+04,1.7316787e+00,7.9430933e+02,3.5644428e+01,7.9511060e+02
133,8.8790414e+04,-6.5662828e+04,1.3800000e+04,1.0924009e+01,7.9926392e+02,3.8960732e+01,8.0028748e+02
134,9.1816719e+04,-6.5662828e+04,1.3800000e+04,1.7872496e+01,8.2191608e+02,3.8048576e+01,8.2299042e+02
135,9.4843023e+04,-6.5662828e+04,1.3800000e+04,2.0567736e+01,8.3605426e+02,3.6966263e+01,8.3712384e+02
136,9.7869328e+04,-6.5662828e+04,1.3800000e+04,2.1048351e+01,8.3144275e+02,3.4032532e+01,8.3240515e+02
137,1.0089563e+05,-6.5662828e+04,1.3800000e+04,1.2341194e+01,8.3255176e+02,3.5257599e+01,8.3338940e+02
138,1.0392194e+05,-6.5662828e+04,1.3800000e+04,2.6616353e-01,8.3042120e+02,3.6208397e+01,8.3121027e+02
139,1.0694823e+05,-6.5662828e+04,1.3800000e+04,-1.5900541e+01,8.2089691e+02,3.6656219e+01,8.2186877e+02
140,1.0997455e+05,-6.5662828e+04,1.3800000e+04,-2.1791904e+01,7.6212433e+02,3.1098461e+01,7.6306976e+02
141,1.1300084e+05,-6.5662828e+04,1.3800000e+04,-1.9069963e+01,6.0483008e+02,2.3308647e+01,6.0557935e+02
142,-2.6209146e+04,-6.2645961e+04,1.3800000e+04,1.8767023e+01,5.4023920e+02,2.4021334e+01,5.4109851e+02
143,-2.3182842e+04,-6.2645961e+04,1.3800000e+04,2.6355305e+01,6.8790759e+02,2.5231363e+01,6.8887451e+02
144,-2.0156539e+04,-6.2645961e+04,1.3800000e+04,2.4578012e+01,7.6807123e+02,2.5746325e+01,7.6889557e+02
145,-1.7130234e+04,-6.2645961e+04,1.3800000e+04,1.1967998e+01,7.7694257e+02,1.2981936e+01,7.7714319e+02
146,-1.4103930e+04,-6.2645961e+04,1.3800000e+04,-2.9016480e+00,7.9397412e+02,1.1091928e+01,7.9405688e+02
147,-1.1077625e+04,-6.2645961e+04,1.3800000e+04,-2.3358547e+01,7.9547479e+02,5.2160454e+00,7.9583472e+02
148,-8.0513203e+03,-6.2645961e+04,1.3800000e+04,-4.4572464e+01,7.9770044e+02,1.9129043e+00,7.9894702e+02
149,-5.0250176e+03,-6.2645961e+04,1.3800000e+04,-6.3742722e+01,7.9001398e+02,4.2725582e+00,7.9259283e+02
150,-1.9987129e+03,-6.2645961e+04,1.3800000e+04,-8.5401146e+01,7.8434473e+02,6.3230019e+00,7.8900568e+02
151,1.0275918e+03,-6.2645961e+04,1.3800000e+04,-1.0406326e+02,7.7864600e+02,9.9404144e-01,7.8556970e+02
152,4.0538965e+03,-6.2645961e+04,1.3800000e+04,-1.1765236e+02,7.8193323e+02,-1.4486961e+00,7.9073621e+02
153,7.0802012e+03,-6.2645961e+04,1.3800000e+04,-1.3065569e+02,7.8543695e+02,1.8160232e+00,7.9623199e+02
154,1.0106506e+04,-6.2645961e+04,1.3800000e+04,-1.5017599e+02,7.9734509e+02,-1.4023685e-01,8.1136426e+02
155,1.3132807e+04,-6.2645961e+04,1.3800000e+04,-1.7340021e+02,8.2579150e+02,2.6729259e+00,8.4380469e+02
156,1.6159111e+04,-6.2645961e+04,1.3800000e+04,-1.9712964e+02,8.2820056e+02,8.0410089e+00,8.5137592e+02
157,1.9185416e+04,-6.2645961e+04,1.3800000e+04,-2.4060245e+02,8.3579419e+02,1.0724398e+01,8.6980255e+02
158,2.2211721e+04,-6.2645961e+04,1.3800000e+04,-2.9380856e+02,8.0408350e+02,2.0212936e+01,8.5631903e+02
159,2.5238025e+04,-6.2645961e+04,1.3800000e+04,-3.3976089e+02,7.0084491e+02,4.1792362e+01,7.7997931e+02
160,2.8264330e+04,-6.2645961e+04,1.3800000e+04,-2.6496701e+02,5.2421875e+02,9.0476334e+01,5.9430530e+02
161,3.1290635e+04,-6.2645961e+04,1.3800000e+04,-1.0943723e+02,4.6684357e+02,1.1812520e+02,4.9383499e+02
162,3.4316938e+04,-6.2645961e+04,1.3800000e+04,-2.7647707e+01,6.1459186e+02,1.0343442e+02,6.2384796e+02
163,3.7343242e+04,-6.2645961e+04,1.3800000e+04,-4.6394436e+01,7.2456250e+02,8.3403755e+01,7.3082104e+02
164,4.0369547e+04,-6.2645961e+04,1.3800000e+04,-4.5798214e+01,7.6477258e+02,7.5722466e+01,7.6987561e+02
165,4.3395852e+04,-6.2645961e+04,1.3800000e+04,-4.3138874e+01,7.8505591e+02,7.7960747e+01,7.9009595e+02
166,4.6422156e+04,-6.2645961e+04,1.3800000e+04,-2.2169392e+01,7.7120129e+02,7.3533653e+01,7.7501624e+02
167,4.9448461e+04,-6.2645961e+04,1.3800000e+04,-8.2073965e+00,7.3082587e+02,6.7952324e+01,7.3402405e+02
